County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
San Luis Obispo,04/10/2020,97,1,2,3,2,3
San Mateo,04/10/2020,642,21,56,12,18,3
Santa Barbara,04/10/2020,254,2,42,13,19,1
Santa Clara,04/10/2020,1351,52,151,44,67,5
Santa Cruz,04/10/2020,75,1,4,11,3,5
Shasta,04/10/2020,24,3,5,7,2,1
Sierra,04/10/2020,0,0,0,0,0,0
Siskiyou,04/10/2020,5,0,0,0,0,0
Solano,04/10/2020,129,2,18,9,9,3
Sonoma,04/10/2020,129,2,4,18,1,6
Stanislaus,04/10/2020,101,0,27,17,11,3
Sutter,04/10/2020,18,2,0,0,0,0
Tehama,04/10/2020,1,0,0,1,0,0
Trinity,04/10/2020,0,0,0,0,0,0
Tulare,04/10/2020,163,11,11,10,6,1
Tuolumne,04/10/2020,0,0,0,0,0,1
Unassigned,04/10/2020,2,0,0,0,0,0
Ventura,04/10/2020,290,9,19,76,8,13
Yolo,04/10/2020,62,2,3,2,1,1
Yuba,04/10/2020,13,1,2,8,1,0
